1,1,1,1,1,1,0,1681,0,54,59,16,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,3,3,3,3,3,0,21,ZU
1,1,1,1,1,1,0,1681,0,54,59,12,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,3,3,3,3,3,0,18,AG
1,1,1,1,1,1,0,1681,0,54,59,4,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,3,3,3,3,3,0,21,Uber
1,1,1,1,1,1,0,1681,0,54,59,8,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,3,3,3,3,3,0,18,OU
1,1,1,1,1,1,0,1681,0,54,59,16,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,3,3,3,3,3,0,18,RU
1,1,1,1,1,1,0,1681,0,54,59,16,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,3,3,3,3,3,0,21,NU
2,1,2,3,2,1,0,1357,0,292,10,4,0,1,3,0,1,1,0,1,0,0,0,1,0,0,0,3,0,3,3,0,3,3,3,3,24,OU
2,1,2,3,2,1,0,1357,0,292,10,4,0,1,2,0,1,0,0,1,0,0,0,1,3,0,2,0,0,1,3,3,3,3,3,3,2,OU
2,1,2,3,2,1,0,1357,0,292,10,4,0,1,2,0,1,0,0,0,0,0,0,1,3,0,2,0,0,1,3,3,3,3,3,3,2,OU
2,1,2,3,2,1,0,1357,0,292,59,5,0,1,3,0,1,1,0,0,0,0,0,1,0,0,0,3,0,3,3,3,3,3,3,3,24,OU
2,1,2,3,2,1,0,1357,0,292,59,5,0,1,3,0,1,1,0,0,0,0,0,1,0,0,0,3,0,3,3,3,3,3,3,3,24,Uber
2,1,2,3,2,1,0,1357,0,292,10,16,0,1,2,0,1,0,0,1,0,0,0,1,0,0,0,3,0,3,3,3,3,3,3,3,24,Uber
2,1,2,2,3,1,0,87,0,311,203,13,1,0,1,1,1,0,0,0,0,0,1,1,3,0,0,0,2,1,3,3,3,3,3,3,5,NU
